date,"Provo, UT","Duluth, MN"
2014-06-08T22:00:00,0,1
2014-06-08T22:01:00,6,1
2014-06-08T22:02:00,6,1
2014-06-08T22:03:00,6,1
2014-06-08T22:04:00,6,1
2014-06-08T22:05:00,6,1
2014-06-08T22:06:00,248,33
2014-06-08T22:07:00,248,33
2014-06-08T22:08:00,253,34
2014-06-08T22:09:00,253,34
2014-06-08T22:10:00,253,34
2014-06-08T22:11:00,253,34
2014-06-08T22:12:00,479,118
2014-06-08T22:13:00,523,140
2014-06-08T22:14:00,558,159
2014-06-08T22:15:00,558,159
2014-06-08T22:16:00,618,190
2014-06-08T22:17:00,647,214
2014-06-08T22:18:00,667,229
2014-06-08T22:19:00,693,249
2014-06-08T22:20:00,693,249
2014-06-08T22:21:00,693,249
2014-06-08T22:22:00,693,249
2014-06-08T22:23:00,693,249
2014-06-08T22:24:00,804,352
2014-06-08T22:25:00,830,395
