date,"Provo, UT","Anchorage, AK","Burlington, VT","Ithaca, NY","Minneapolis, MN","Duluth, MN","Louisville, KY","Asheville, NC"
2014-06-03T10:55:00,47464,44359,21260,21844,38698,57495,17214,20593
2014-06-03T10:56:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T10:57:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T10:58:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T10:59:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T11:00:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T11:01:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T11:02:00,47468,44362,21262,21852,38700,57500,17218,20595
2014-06-03T11:03:00,47501,44385,21293,21905,38714,57530,17231,20614
2014-06-03T11:04:00,47501,44385,21293,21905,38714,57530,17231,20614
2014-06-03T11:05:00,47501,44385,21293,21905,38714,57530,17231,20614
2014-06-03T11:06:00,47501,44385,21293,21905,38714,57530,17231,20614
2014-06-03T11:07:00,47521,44399,21313,21944,38726,57548,17242,20625
2014-06-03T11:08:00,47523,44401,21315,21948,38728,57550,17242,20627
2014-06-03T11:09:00,47534,44406,21322,21962,38730,57557,17242,20631
2014-06-03T11:10:00,47534,44406,21322,21962,38730,57557,17242,20631
2014-06-03T11:11:00,47534,44406,21322,21962,38730,57557,17242,20631
2014-06-03T11:12:00,47534,44406,21322,21962,38730,57557,17242,20631
2014-06-03T11:13:00,47534,44406,21322,21962,38730,57557,17242,20631
2014-06-03T11:14:00,47574,44423,21347,21996,38746,57587,17255,20649
2014-06-03T11:15:00,47574,44423,21347,21996,38746,57587,17255,20649
2014-06-03T11:16:00,47613,44432,21361,22023,38755,57605,17263,20658
2014-06-03T11:17:00,47613,44432,21361,22023,38755,57605,17263,20658
2014-06-03T11:18:00,47613,44432,21361,22023,38755,57605,17263,20658
2014-06-03T11:19:00,47635,44439,21377,22038,38767,57612,17272,20667
2014-06-03T11:20:00,47648,44441,21387,22053,38771,57621,17277,20670
2014-06-03T11:21:00,47648,44441,21387,22053,38771,57621,17277,20670
2014-06-03T11:22:00,47657,44447,21394,22065,38780,57626,17282,20678
2014-06-03T11:23:00,47657,44447,21394,22065,38780,57626,17282,20678
2014-06-03T11:24:00,47657,44447,21394,22065,38780,57626,17282,20678
2014-06-03T11:25:00,47676,44460,21415,22098,38794,57643,17292,20693
2014-06-03T11:26:00,47676,44460,21415,22098,38794,57643,17292,20693
2014-06-03T11:27:00,47686,44467,21425,22107,38796,57656,17299,20702
2014-06-03T11:28:00,47686,44467,21425,22107,38796,57656,17299,20702
2014-06-03T11:29:00,47686,44467,21425,22107,38796,57656,17299,20702
2014-06-03T11:30:00,47703,44478,21444,22127,38807,57668,17306,20711
2014-06-03T11:31:00,47714,44479,21448,22133,38810,57672,17308,20714
2014-06-03T11:32:00,47714,44479,21448,22133,38810,57672,17308,20714
2014-06-03T11:33:00,47714,44479,21448,22133,38810,57672,17308,20714
2014-06-03T11:34:00,47724,44484,21461,22148,38815,57688,17313,20720
2014-06-03T11:35:00,47734,44498,21474,22168,38825,57700,17317,20735
2014-06-03T11:36:00,47737,44501,21479,22171,38826,57702,17317,20737
2014-06-03T11:37:00,47746,44503,21484,22175,38830,57704,17319,20740
2014-06-03T11:38:00,47746,44503,21484,22175,38830,57704,17319,20740
2014-06-03T11:39:00,47746,44503,21484,22175,38830,57704,17319,20740
2014-06-03T11:40:00,47749,44503,21485,22176,38832,57705,17319,20740
2014-06-03T11:41:00,47749,44503,21485,22176,38832,57705,17319,20740
2014-06-03T11:42:00,47749,44503,21485,22176,38832,57705,17319,20740
2014-06-03T11:43:00,47749,44503,21485,22176,38832,57705,17319,20740
2014-06-03T11:44:00,47789,44526,21528,22232,38852,57737,17335,20767
2014-06-03T11:45:00,47792,44531,21537,22240,38856,57744,17338,20770
2014-06-03T11:46:00,47792,44531,21537,22240,38856,57744,17338,20770
2014-06-03T11:47:00,47808,44539,21549,22259,38864,57758,17347,20783
2014-06-03T11:48:00,47814,44548,21556,22269,38867,57764,17350,20788
2014-06-03T11:49:00,47814,44548,21556,22269,38867,57764,17350,20788
2014-06-03T11:50:00,47814,44548,21556,22269,38867,57764,17350,20788
2014-06-03T11:51:01,47834,44561,21570,22297,38879,57781,17361,20802
2014-06-03T11:52:00,47834,44561,21570,22297,38879,57781,17361,20802
2014-06-03T11:53:00,47849,44572,21585,22317,38886,57790,17367,20811
2014-06-03T11:54:00,47849,44572,21585,22317,38886,57790,17367,20811
2014-06-03T11:55:00,47849,44572,21585,22317,38886,57790,17367,20811
2014-06-03T11:56:00,47849,44572,21585,22317,38886,57790,17367,20811
2014-06-03T11:57:00,47875,44587,21601,22349,38898,57815,17378,20827
2014-06-03T11:58:00,47883,44587,21609,22354,38901,57819,17379,20829
2014-06-03T11:59:00,47883,44587,21609,22354,38901,57819,17379,20829
2014-06-03T12:00:00,47883,44587,21609,22354,38901,57819,17379,20829
2014-06-03T12:01:00,47897,44598,21623,22380,38918,57830,17387,20838
2014-06-03T12:02:00,47899,44599,21624,22381,38918,57833,17387,20838
2014-06-03T12:03:00,47903,44601,21629,22385,38919,57836,17388,20840
2014-06-03T12:04:00,47903,44601,21629,22385,38919,57836,17388,20840
2014-06-03T12:05:00,47903,44601,21629,22385,38919,57836,17388,20840
2014-06-03T12:06:00,47925,44609,21647,22409,38927,57851,17395,20851
2014-06-03T12:07:00,47932,44615,21658,22421,38931,57863,17398,20859
2014-06-03T12:08:00,47939,44622,21662,22430,38937,57871,17400,20862
2014-06-03T12:09:00,47942,44624,21665,22434,38941,57876,17403,20867
2014-06-03T12:10:00,47947,44628,21668,22440,38943,57878,17404,20870
